,년/월,년도,월,컨테이너
0,2013-01-01,2013,01,23818165
1,2013-02-01,2013,02,21777930
2,2013-03-01,2013,03,26068371
3,2013-04-01,2013,04,25903253
4,2013-05-01,2013,05,25397562
5,2013-06-01,2013,06,25581027
6,2013-07-01,2013,07,25771392
7,2013-08-01,2013,08,24572137
8,2013-09-01,2013,09,24250059
9,2013-10-01,2013,10,25221780
10,2013-11-01,2013,11,25118429
11,2013-12-01,2013,12,26179697
12,2014-01-01,2014,01,26515130
13,2014-02-01,2014,02,22329432
14,2014-03-01,2014,03,28100356
15,2014-04-01,2014,04,27846017
16,2014-05-01,2014,05,26665180
17,2014-06-01,2014,06,27444889
18,2014-07-01,2014,07,27418977
19,2014-08-01,2014,08,26957202
20,2014-09-01,2014,09,26260981
21,2014-10-01,2014,10,28710816
22,2014-11-01,2014,11,26310376
23,2014-12-01,2014,12,26936347
24,2015-01-01,2015,01,28360923
25,2015-02-01,2015,02,27052143
26,2015-03-01,2015,03,28373705
27,2015-04-01,2015,04,28165372
28,2015-05-01,2015,05,27905365
29,2015-06-01,2015,06,27801498
30,2015-07-01,2015,07,28138980
31,2015-08-01,2015,08,27788184
32,2015-09-01,2015,09,27790401
33,2015-10-01,2015,10,27541499
34,2015-11-01,2015,11,26418527
35,2015-12-01,2015,12,27714961
36,2016-01-01,2016,01,26625291
37,2016-02-01,2016,02,26864836
38,2016-03-01,2016,03,28661030
39,2016-04-01,2016,04,27158981
40,2016-05-01,2016,05,28346472
41,2016-06-01,2016,06,27650651
42,2016-07-01,2016,07,29677729
43,2016-08-01,2016,08,28442784
44,2016-09-01,2016,09,27907395
45,2016-10-01,2016,10,29542666
46,2016-11-01,2016,11,27944245
47,2016-12-01,2016,12,27763265
48,2017-01-01,2017,01,31851032
49,2017-02-01,2017,02,25883397
50,2017-03-01,2017,03,31573364
51,2017-04-01,2017,04,32492336
52,2017-05-01,2017,05,30491782
53,2017-06-01,2017,06,39029511
54,2017-07-01,2017,07,32697198
55,2017-08-01,2017,08,29984272
56,2017-09-01,2017,09,29290050
57,2017-10-01,2017,10,29866470
58,2017-11-01,2017,11,30559001
59,2017-12-01,2017,12,32144396
60,2018-01-01,2018,01,29948424
61,2018-02-01,2018,02,29893665
62,2018-03-01,2018,03,30354716
63,2018-04-01,2018,04,35260699
64,2018-05-01,2018,05,42688022
65,2018-06-01,2018,06,38303545
66,2018-07-01,2018,07,42122798
67,2018-08-01,2018,08,37554829
68,2018-09-01,2018,09,38622443
69,2018-10-01,2018,10,37931385
70,2018-11-01,2018,11,38515382
71,2018-12-01,2018,12,38435533
72,2019-01-01,2019,01,34562177
73,2019-02-01,2019,02,33300548
74,2019-03-01,2019,03,36921219
75,2019-04-01,2019,04,35240393
76,2019-05-01,2019,05,37434073
77,2019-06-01,2019,06,40332066
78,2019-07-01,2019,07,40245963
79,2019-08-01,2019,08,41674569
80,2019-09-01,2019,09,36085439
81,2019-10-01,2019,10,37592308
82,2019-11-01,2019,11,35405859
83,2019-12-01,2019,12,38546489
84,2020-01-01,2020,01,32892745
85,2020-02-01,2020,02,29911546
86,2020-03-01,2020,03,34528350
87,2020-04-01,2020,04,30793667
88,2020-05-01,2020,05,29776399
89,2020-06-01,2020,06,30937962
90,2020-07-01,2020,07,31847742
91,2020-08-01,2020,08,31702352
92,2020-09-01,2020,09,32073284
93,2020-10-01,2020,10,35177948
94,2020-11-01,2020,11,36047373
95,2020-12-01,2020,12,34617474
96,2021-01-01,2021,01,34108728
97,2021-02-01,2021,02,31047023
98,2021-03-01,2021,03,36095466
99,2021-04-01,2021,04,35782420
100,2021-05-01,2021,05,36709976
101,2021-06-01,2021,06,35499570
102,2021-07-01,2021,07,36455429
103,2021-08-01,2021,08,34731385
104,2021-09-01,2021,09,34137418
105,2021-10-01,2021,10,36817722
106,2021-11-01,2021,11,34123158
107,2021-12-01,2021,12,34510917
108,2022-01-01,2022,01,36560923
109,2022-02-01,2022,02,31763649
110,2022-03-01,2022,03,33563686
111,2022-04-01,2022,04,34322882
112,2022-05-01,2022,05,35561220
113,2022-06-01,2022,06,33570228
114,2022-07-01,2022,07,37475451
115,2022-08-01,2022,08,34654034
116,2022-09-01,2022,09,28412085
117,2022-10-01,2022,10,32971406
118,2022-11-01,2022,11,31876606
119,2022-12-01,2022,12,30599443
120,2023-01-01,2023,01,33775988
121,2023-02-01,2023,02,30614941
122,2023-03-01,2023,03,36307614
123,2023-04-01,2023,04,35789154
124,2023-05-01,2023,05,35273725
125,2023-06-01,2023,06,33655766
126,2023-07-01,2023,07,34477321
127,2023-08-01,2023,08,34292855
128,2023-09-01,2023,09,35206478
129,2023-10-01,2023,10,33865762
130,2023-11-01,2023,11,35283219
131,2023-12-01,2023,12,34096319
